file_name,timestamp,first_fold_hero_headline,first_fold_hero_subheadline,first_fold_following_headlines,first_fold_following_subheadlines,deals_hero_headline,deals_hero_subheadline,deals_following_headlines,deals_following_subheadlines,change_type
VZ_2025-07-01.png,2025-07-01,iPhone 16 Pro on us,Online only. W/ new line on myPlan. No trade-in required.,"2: iPhone 16 Pro, Apple Watch Series 10 & iPad all on us | 3: Get Samsung Galaxy S25 Ultra on us | 4: 3 year price lock guarantee",2: With select phone trade-in and myPlan req'd. Service plan req'd for iPad and Apple Watch. | 3: W/ new line on Unlimited Ultimate. No trade-in required. | 4: guarantee excludes taxes & fees.,iPhone 16 Plus. Get up to 4 on us,Online only. W/ new line on myPlan. No trade-in required.,"2: Get a JBL PartyBox On-The-Go Essential, on us | 3: Get Samsung Galaxy S24 FE on us | 4: Google Pixel 9, Watch & Tab on us",2: With select Verizon Home internet plans. | 3: With new line on myPlan. No trade-in required. | 4: W/ select phone trade-in & myPlan req'd. Service plan req'd for watch and tablet.,FIRST_SNAPSHOT
VZ_2025-07-02.png,2025-07-02,iPhone 16 Pro on us,Online only. W/ new line on myPlan. No trade-in required.,"2: For new and existing customers iPhone 16 Pro, Apple Watch Series 10 & iPad all on us | 3: Get Samsung Galaxy S25 Ultra on us | 4: New and existing customers 3 year price lock guarantee",2: With select phone trade-in and myPlan req'd. Service plan req'd for iPad and Apple Watch. | 3: W/ new line on Unlimited Ultimate. | 4: On myPlan & myHome. Mobile price guarantee excludes taxes & fees.,iPhone 16 Plus. Get up to 4 on us,Online only. W/ new line on myPlan. No trade-in required.,"2: Get a JBL PartyBox On-The-Go Essential, on us | 3: Get Samsung Galaxy S24 FE on us | 4: Google Pixel 9, Watch & Tab on us",2: With select Verizon Home internet plans. | 3: With new line on myPlan. No trade-in required. | 4: W/ select phone trade-in & myPlan req'd. Service plan req'd for watch and tablet.,FIRST_FOLD_CHANGED
VZ_2025-07-03.png,2025-07-03,iPhone 16 Pro on us,With select phone trade-in and Unlimited Ultimate. Any condition guaranteed.,2: Get Samsung Galaxy S25+ on us | 3: iPhone 16 on us,2: With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: With new line on myPlan. No trade-in required.,Get Samsung Galaxy S25 on us,With new line on myPlan. No trade-in required.,"2: iPhone 16 Plus. Get up to 4 on us | 3: Get YouTube Premium for 6 months, on us. Then $10/mo | 4: Motorola razr with moto ai, on us",2: Online only. W/ new line on select Unlimited plans. | 3: With any Verizon Home Internet plan. | 4: With select phone trade-in and new line on myPlan.,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-04.png,2025-07-04,iPhone 16 Pro on us,With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. ⓘ,1: Get Samsung Galaxy S25+ on us | 2: iPhone 16 on us,1: With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. ⓘ | 2: With new line on myPlan. No trade-in required. ⓘ,Get Samsung Galaxy S25 on us,With new line on myPlan. No trade-in required. ⓘ,"1: iPhone 16 Plus. Get up to 4 on us | 2: Get YouTube Premium for 6 months, on us. Then $10/mo | 3: Motorola razr with moto ai, on us",1: Online only. W/ new line on select Unlimited plans. No trade-in required. ⓘ | 2: With any Verizon Home Internet plan. ⓘ | 3: With select phone trade-in and new line on myPlan. ⓘ,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-05.png,2025-07-05,iPhone 16 Pro on us,With select phone trade-in and Unlimited Ultimate. Any condition guaranteed.,2: Get Samsung Galaxy S25+ on us | 3: iPhone 16 on us,2: With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: With new line on myPlan. No trade-in required.,Get Samsung Galaxy S25 on us,With new line on myPlan. No trade-in required.,"2: iPhone 16 Plus. Get up to 4 on us | 3: Get YouTube Premium for 6 months, on us. | 4: Motorola razr with moto ai, on us",2: Online only. W/ new line on select Unlimited plans. | 3: Then $10/mo | 4: With select phone trade-in and new line on myPlan.,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-06.png,2025-07-06,iPhone 16 Pro on us,With select phone trade-in and Unlimited Ultimate. Any condition guaranteed.,2: Get Samsung Galaxy S25+ on us | 3: iPhone 16 on us,2: With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: With new line on myPlan. No trade-in required.,Get Samsung Galaxy S25 on us,With new line on myPlan. No trade-in required.,"2: iPhone 16 Plus. Get up to 4 on us | 3: Get YouTube Premium for 6 months, on us. Then $10/mo | 4: Motorola razr with moto ai, on us",2: Online only. W/ new line on select Unlimited plans. | 3: With any Verizon Home Internet plan. | 4: With select phone trade-in and new line on myPlan.,DEALS_CHANGED
VZ_2025-07-07.png,2025-07-07,iPhone 16 Pro on us,Built for Apple Intelligence. With select phone trade-in and Unlimited Ultimate. Any condition guaranteed.,1: Get Samsung Galaxy S25+ on us | 2: iPhone 16 on us,"1: For new and existing customers With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 2: Online only. With new line on myPlan. No trade-in required. Hello, Apple Intelligence.",Get Samsung Galaxy S25 on us,With new line on myPlan. No trade-in required.,"1: iPhone 16 Plus. Get up to 4 on us | 2: Get YouTube Premium for 6 months, on us. Then $10/mo | 3: Motorola razr with moto ai, on us",1: Online only. With new line on select Unlimited plans. | 2: With any Verizon Home Internet plan. | 3: With select phone trade-in and new line on myPlan.,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-08.png,2025-07-08,iPhone 16 Pro on us,With select phone trade-in and Unlimited Ultimate. Any condition guaranteed.,2: Get Samsung Galaxy S25+ on us | 3: iPhone 16 on us | 4: New and existing customers. 3 year price lock guarantee,2: For new and existing customers. With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: Online only. With new line on myPlan. No trade-in required. | 4: On myPlan & myHome. Mobile price guarantee excludes taxes & fees.,Get Samsung Galaxy S25 on us,With new line on myPlan. No trade-in required.,"2: iPhone 16 Plus. Get up to 4 on us | 3: Get YouTube Premium for 6 months, on us. | 4: Motorola razr with moto ai, on us",2: Online only. W/ new line on select Unlimited plans. No trade-in required. | 3: Then $10/mo. With any Verizon Home Internet plan. | 4: With select phone trade-in and new line on myPlan.,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-10.png,2025-07-10,iPhone 16 Pro on us,With select phone trade-in and Unlimited Ultimate. Any condition guaranteed.,2: Online only iPhone 16 on us | 3: For new and existing customers The new Samsung Galaxy Z Flip7 on us,"2: With new line on myPlan. No trade-in required. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off","With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","2: Samsung Galaxy S25+ on us | 3: iPhone 16 Plus. Get up to 4 on us | 4: Get $400 off select Samsung products, on us","2: With select phone trade-in, in any condition. With Unlimited Ultimate. | 3: Online only. W/ new line on select Unlimited plans. No trade-in required. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-11.png,2025-07-11,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,,"2: The new Samsung Galaxy Z Flip7 on us | 3: Samsung Galaxy Z Fold7 and get $1,100 off",,Pre-order the new Samsung Galaxy S25+ and get S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ | 4: Get $400 off select Samsung products, on us",2: W/ new line on myPlan. No trade-in required. | 3: Get S25+ on us | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-12.png,2025-07-12,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,"With phone trade-in from Samsung, Apple, Google or Motorola req'd. Any condition guaranteed. With Unlimited Ultimate.",2: The new Samsung Galaxy Z Flip7 on us,"2: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off","With phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-13.png,2025-07-13,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,"With phone trade-in from Samsung, Apple, Google or Motorola req'd. Any condition guaranteed. With Unlimited Ultimate.®",2: The new Samsung Galaxy Z Flip7 on us,"2: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.®","Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off","With phone trade-in, in any condition. With Unlimited Ultimate.®","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. ⓘ | 3: With select phone trade-in, in any condition. With Unlimited Ultimate.® | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans. ⓘ",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-14.png,2025-07-14,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,"Hello, Apple Intelligence.",2: The new Samsung Galaxy Z Flip7 on us,2: Galaxy Z Flip7 Galaxy AI ✨,"Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off",Galaxy Z Fold7 Galaxy AI ✨,"2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. ⓘ | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. ⓘ | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans. ⓘ",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-15.png,2025-07-15,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,"Hello, Apple Intelligence.","2: The new Samsung Galaxy Z Flip7 on us | 3: Samsung Galaxy Z Fold7 and get $1,100 off",2: Galaxy Z Flip7 Galaxy AI. | 3: Galaxy Z Fold7 Galaxy AI.,Pre-order the new Samsung Galaxy S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us",2: w/ new line on myPlan. No trade-in required. | 3: With phone trade-in in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-16.png,2025-07-16,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,"With phone trade-in from Samsung, Apple, Google or Motorola req'd. Any condition guaranteed. With Unlimited Ultimate.",2: The new Samsung Galaxy Z Flip7 on us,"2: With phone trade-in from Samsung, Apple, or Motorola req'd. With Unlimited Ultimate.","Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off","With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-17.png,2025-07-17,Families save big when everyone can pick their own plan,3-year price lock guarantee,2: iPhone 16 Pro on us | 3: The new Samsung Galaxy Z Flip7 on us,2: FOR ALL NEW AND EXISTING CUSTOMERS | 3: Pre-order,"Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off","With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-18.png,2025-07-18,iPhone 16 Pro on us,"With phone trade-in from Samsung, Apple, Google or Motorola req'd. Any condition guaranteed. With Unlimited Ultimate.","2: The new Samsung Galaxy Z Flip7 on us | 3: Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off","2: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.",Pre-order the new Samsung Galaxy S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+. Pre-order now. | 4: Get $400 off select Samsung products, on us",2: W/ new line on myPlan. No trade-in required. | 3: With select trade-in. With Unlimited Ultimate plan req'd. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-19.png,2025-07-19,iPhone 16 Pro on us,FOR ALL NEW AND EXISTING CUSTOMERS,2: The new Samsung Galaxy Z Flip7 on us,2: Galaxy Z Flip7 Galaxy AI+,Pre-order the new Samsung Galaxy S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy Z Fold7 and get $1,100 off | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-20.png,2025-07-20,iPhone 16 Pro on us,,2: iPhone 15 Plus. Get up to 4 on us | 3: The new Samsung Galaxy Z Flip7 on us,2: w/ new line on myPlan. No trade-in required.,Pre-order the new Samsung Galaxy S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy Z Fold7 and get $1,100 off | 4: Get $400 off select Samsung products, on us","2: w/ new line on myPlan. No trade-in required. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-21.png,2025-07-21,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,Built for Apple intelligence.,2: The new Samsung Galaxy Z Flip7 on us,2: Galaxy Z Flip7 Galaxy AI+,Pre-order the new Samsung Galaxy S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy Z Fold7 and get $1,100 off | 4: Get $400 off select Samsung products, on us","2: w/ new line on myPlan. No trade-in required. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_CHANGED
VZ_2025-07-22.png,2025-07-22,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,"With phone trade-in from Samsung, Apple, Google or Motorola req'd. Any condition guaranteed. With Unlimited Ultimate.","2: The new Samsung Galaxy Z Flip7 on us | 3: Samsung Galaxy Z Fold7 and get $1,100 off","2: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.",Pre-order the new Samsung Galaxy S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Get $400 off select Samsung products, on us",2: w/ new line on myPlan. No trade-in required. | 3: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.,FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-23.png,2025-07-23,FOR ALL NEW AND EXISTING CUSTOMERS iPhone 16 Pro on us,Built for Apple intelligence.,"2: The new Samsung Galaxy Z Flip7 on us | 3: Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off",2: Galaxy Z Flip7 Galaxy AI. | 3: Galaxy Z Fold7 Galaxy AI.,Pre-order the new Samsung Galaxy S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25 Ultra on us | 4: Get $400 off select Samsung products, on us","2: w/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-24.png,2025-07-24,Families save big when everyone can pick their own plan,3-year price lock guarantee,2: iPhone 16 Pro on us | 3: The new Samsung Galaxy Z Flip7 on us,,"Pre-order the new Samsung Galaxy Z Fold7 and get $1,100 off","With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products,","2: W/ new line on MyPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: when you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-25.png,2025-07-25,Families save big when everyone can pick their own plan 3-year price lock guarantee,Summer love for new and existing customers. Price guarantee applies to base monthly rate only. On myPlan and myHome.,2: iPhone 16 Pro on us | 3: Get Samsung Galaxy Z Flip7 on us,"2: FOR ALL NEW AND EXISTING CUSTOMERS. With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: FOR ALL NEW AND EXISTING CUSTOMERS. With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","Get $1,100 off the new Samsung Galaxy Z Fold7","With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","2: iPhone 16 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-26.png,2025-07-26,Families save big when everyone can pick their own plan,3-year price lock guarantee,2: iPhone 16 Pro on us | 3: Get Samsung Galaxy Z Flip7 on us,"2: FOR ALL NEW AND EXISTING CUSTOMERS | With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: FOR ALL NEW AND EXISTING CUSTOMERS | With phone trade-in from Samsung, Apple, Google or Motorola req'd. Any condition guaranteed. With Unlimited Ultimate.","Get $1,100 off the new Samsung Galaxy Z Fold7","With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on MyPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-27.png,2025-07-27,Families save big when everyone can pick their own plan,3-year price lock guarantee. Price guarantee applies to base monthly rate only. On myPlan and myHome.,2: iPhone 16 Pro on us | 3: Get Samsung Galaxy Z Flip7 on us,"2: With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","Get $1,100 off the new Samsung Galaxy Z Fold7","With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_AND_DEALS_CHANGED
VZ_2025-07-28.png,2025-07-28,Families save big when everyone can pick their own plan,3-year price lock guarantee,2: iPhone 16 Pro on us | 3: Get Samsung Galaxy Z Flip7 on us,"2: With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate. Any condition guaranteed.","Get $1,100 off the new Samsung Galaxy Z Fold7","With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_CHANGED
VZ_2025-07-29.png,2025-07-29,Families save big when everyone can pick their own plan,3-year price lock guarantee,2: iPhone 16 Pro on us | 3: Get Samsung Galaxy Z Flip7 on us,"2: With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","Get $1,100 off the new Samsung Galaxy Z Fold7","With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",FIRST_FOLD_CHANGED
VZ_2025-07-30.png,2025-07-30,Families save big when everyone can pick their own plan,3-year price lock guarantee,2: iPhone 16 Pro on us | 3: Get Samsung Galaxy Z Flip7 on us,"2: With select phone trade-in and Unlimited Ultimate. Any condition guaranteed. | 3: With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.",Get $1100 off the new Samsung Galaxy Z Fold7,"With phone trade-in from Samsung, Apple, Google or Motorola req'd. With Unlimited Ultimate.","2: iPhone 15 Plus. Get up to 4 on us | 3: Samsung Galaxy S25+ on us | 4: Get $400 off select Samsung products, on us","2: W/ new line on myPlan. No trade-in required. | 3: With select phone trade-in, in any condition. With Unlimited Ultimate. | 4: When you spend $799 or more on an eligible item at Best Buy®. With select Verizon Home Internet plans.",DEALS_CHANGED
VZ_2025-08-01.png,2025-08-01,Families save big when everyone can pick their own plan,3-year price lock guarantee,"2: iPhone 16 Pro on us | 3: Get up to $1,000 off the new Samsung Galaxy Z Series",2: FOR ALL NEW AND EXISTING CUSTOMERS | 3: With select phone trade-in and Unlimited Ultimate.,Samsung Galaxy S25+ on us,"With select phone trade-in, in any condition. With Unlimited Ultimate.","2: iPhone 16. Get it on us | 3: Online only. Get up to a $200 Amazon Gift Card | 4: NFL Sunday Ticket from YouTube, on us","2: Select phone trade-in and select Unlimited plans req. Any condition guaranteed. | 3: With select Verizon Home Internet plans. | 4: For the 2025 NFL season. When you buy a 5G phone or bring one w/myPlan, or w/select myHome plans.",FIRST_FOLD_AND_DEALS_CHANGED
